"Table 3: IVF pregnancy rates by fresh and frozen embryo transfers, 1991-2022 [note 3]",,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,
Notes!A1,,,,,,,,,,,,
"To view further data on fertility treatments in the UK, visit the HFEA dashboard",,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F] ",,,,,,,,,,,,
Source: Human Fertilisation and Embryology Authority (HFEA) data register,,,,,,,,,,,,
Year,Fresh embryo transfer - Patients,Fresh embryo transfer - Cycles,Fresh embryo transfer - Embryos transferred,Fresh embryo transfer - Pregnancies,Fresh embryo transfer - Pregnancy rate per embryo transferred,Fresh embryo transfer - Pregnancy rate per treatment cycle,Frozen embryo transfer - Patients,Frozen embryo transfer - Cycles,Frozen embryo transfer - Embryos transferred,Frozen embryo transfer - Pregnancies,Frozen embryo transfer - Pregnancy rate per embryo transferred,Frozen embryo transfer - Pregnancy rate per treatment cycle
2004,"  24,866 ","  30,198 ","  51,095 ","  7,659 ",15%,25%,"  6,313 ","  7,413 ","  12,316 ","  1,250 ",10%,17%
2003,"  23,449 ","  28,206 ","  49,687 ","  7,352 ",15%,26%,"  5,995 ","  6,912 ","  12,170 ","  1,246 ",10%,18%
2002,"  23,172 ","  27,944 ","  50,429 ","  7,167 ",14%,26%,"  6,129 ","  7,134 ","  13,084 ","  1,158 ",9%,16%
2001,"  22,364 ","  26,949 ","  51,580 ","  6,789 ",13%,25%,"  5,830 ","  6,844 ","  13,475 ","  1,108 ",8%,16%
2000,"  22,109 ","  26,708 ","  52,250 ","  6,440 ",12%,24%,"  5,310 ","  6,191 ","  12,707 ",  950 ,7%,15%
1999,"  21,994 ","  26,629 ","  53,497 ","  6,402 ",12%,24%,"  4,988 ","  5,790 ","  12,332 ",  906 ,7%,16%
1998,"  22,914 ","  27,800 ","  55,184 ","  6,286 ",11%,23%,"  4,485 ","  5,263 ","  12,224 ",  843 ,7%,16%
1997,"  22,030 ","  26,727 ","  52,282 ","  5,550 ",11%,21%,"  4,121 ","  4,893 ","  11,301 ",  789 ,7%,16%
1996,"  21,373 ","  26,340 ","  52,401 ","  5,461 ",10%,21%,"  4,182 ","  4,992 ","  11,604 ",  730 ,6%,15%
1995,"  19,478 ","  23,582 ","  46,038 ","  4,476 ",10%,19%,"  3,368 ","  4,019 ","  9,415 ",  607 ,6%,15%
1994,"  16,613 ","  20,067 ","  39,817 ","  3,701 ",9%,18%,"  2,595 ","  3,076 ","  7,073 ",  455 ,6%,15%
1993,"  14,513 ","  17,987 ","  35,084 ","  3,326 ",9%,18%,"  2,237 ","  2,696 ","  6,288 ",  427 ,7%,16%
1992,"  12,242 ","  15,403 ","  28,594 ","  2,685 ",9%,17%,"  1,715 ","  2,088 ","  4,860 ",  305 ,6%,15%
1991,"  5,399 ","  5,730 ","  10,702 ","  1,027 ",10%,18%,  616 ,  665 ,"  1,598 ",  132 ,8%,20%
